ID,LocalGovernmentName,URL,TargetFlag
1,"Hokkaido","http://www.pref.hokkaido.lg.jp/hs/seijishikinkouhyou/seijisikinsyuushihoukokusyoyoushi.htm",0
2,"Aomori",https://www.pref.aomori.lg.jp/soshiki/senkan/sesikin_syusihokoku_kokai.html,0
3,"Iwate","http://www.pref.iwate.jp/iinkai/senkyo/houkoku/index.html",0
4,"Miyagi","https://www.pref.miyagi.jp/soshiki/senkyo/syusi-houkoku-kohyo.html",0
5,"Akita","http://www.pref.akita.jp/senkyo/02seiji.html",0
6,"Yamagata","https://www.pref.yamagata.jp/ou/910001/seijishikin/shushihokoku/",0
7,"Fukushima","http://www.pref.fukushima.lg.jp/sec/62010a/syuushihoukokusyo.html",0
8,"Ibaraki","http://www.pref.ibaraki.jp/somu/shichoson/senkyo/senkan/seijishikin_syuushi.html",0
9,"Tochigi","http://www.pref.tochigi.lg.jp/k05/pref/senkyo/jyouhou/kisei.html",0
10,"Gumma","http://www.pref.gunma.jp/07/u0100309.html",0
11,"Saitama","https://www.pref.saitama.lg.jp/e1701/seijidantai.html",0
12,"Chiba","https://www.pref.chiba.lg.jp/senkan/seijidantai/kouhyou/mokuji/index.html",0
13,"Tokyo","http://www.senkyo.metro.tokyo.jp"/,0
14,"Kanagawa","http://www.pref.kanagawa.jp/docs/em7/cnt/f5/p2.html",0
15,"Niigata","http://www.pref.niigata.lg.jp/senkyo/1199638849360.html",0
16,"Toyama","http://www.pref.toyama.jp/sections/0500/seijidantai-syushi.html",0
17,"Ishikawa","http://www.pref.ishikawa.lg.jp/senkan"/,0
18,"Fukui","http://www.pref.fukui.lg.jp/doc/senkan/seijisikin/seijisikin-shusi.html",0
19,"Yamanashi","http://www.pref.yamanashi.jp/senkyo/80897970414.html",0
20,"Nagano","https://www.pref.nagano.lg.jp/senkan/kensei/soshiki/soshiki/kencho/senkyo/senkyo/sejishikin/index.html",0
21,"Gifu","https://www.pref.gifu.lg.jp/kensei/senkyo/seiji-dantai/14301/shushi/shushi-kouhyou.html",0
22,"Shizuoka","https://www.pref.shizuoka.jp/senkan/seijishikinshushi/index.html",0
23,"Aichi","https://www.pref.aichi.jp/soshiki/senkyo/0000051542.html",0
24,"Mie","http://www.pref.mie.lg.jp/SENKAN/HP/0019100008.htm",0
25,"Shiga","http://www.pref.shiga.lg.jp/senkyo/syuusihoukokusyo/syuusihoukokusyo.html",0
26,"Kyoto","http://www.pref.kyoto.jp/senkan/shushihoukokukouhyo.html",0
27,"Osaka","http://www.pref.osaka.lg.jp/senkan/syuushikouhyou/index.html",0
28,"Hyogo","https://web.pref.hyogo.lg.jp/si01/pa25_000000001.html",0
29,"Nara","http://www.pref.nara.jp/dd.aspx?menuid=36642",0
30,"Wakayama","https://www.pref.wakayama.lg.jp/prefg/010600/wsenkan/kouhyou/kouhyou.html",0
31,"Tottori","https://www.pref.tottori.lg.jp/23616.htm",0
32,"Shimane","https://www.pref.shimane.lg.jp/admin/commission/senkyo/shimane_senkyo/sikin/seijishikinshuushihoukokushonokouhyou.html",0
33,"Okayama","http://www.pref.okayama.jp/page/350095.html",0
34,"Hiroshima","https://www.pref.hiroshima.lg.jp/site/sennkyokannriiinkai/list39-151.html",0
35,"Yamaguchi","http://www.pref.yamaguchi.jp/gyosei/senkyo/sikin/sikin_index.htm",0
36,"Tokushima","https://www.pref.tokushima.lg.jp/kenseijoho/senkyo/2014102400048/",0
37,"Kagawa","http://www.pref.kagawa.lg.jp/content/etc/subsite/seijishikin/syushi_kouhyou/index.shtml",0
38,"Ehime","http://www.pref.ehime.jp/e60700/1696/syuushihoukoku.html",0
39,"Kochi","http://www.pref.kochi.lg.jp/soshiki/270101/syushi-houkoku.html",0
40,"Fukuoka","http://www.pref.fukuoka.lg.jp/contents/yousikouhyou.html",0
41,"Saga","http://www.pref.saga.lg.jp/list00717.html",0
42,"Nagasaki","https://www.pref.nagasaki.jp/bunrui/kenseijoho/senkyojoho/senkyosyuusihoukoku/seizisikinnsyusshijoukoku/",0
43,"Kumamoto","https://www.pref.kumamoto.jp/hpkiji/pub/List.aspx?c_id=3&class_set_id=2&class_id=5006",0
44,"Oita","https://www.pref.oita.jp/site/senkyo/shuusihoukoku-gaiyouyousi.html",0
45,"Miyazaki","https://www.pref.miyazaki.lg.jp/senkyo/kense/senkyo/seijishikin/20180521102004.html",0
46,"Kagoshima","http://www.pref.kagoshima.jp/kensei/senkyo/index.html",0
47,"Okinawa","https://www.pref.okinawa.lg.jp/site/senkan_i/syushi/h26syushihoukokutop.html",0
